2025-04-08_18-03-14,000%,draft.go:2025-04-08_18-03-14
2025-04-08_18-03-20,Execução Livre,draft.go:2025-04-08_18-03-14
2025-04-08_18-11-20,000%,draft.go:2025-04-08_18-11-20
2025-04-08_18-11-21,000%,draft.go:2025-04-08_18-11-20
2025-04-08_18-16-06,000%,draft.go:2025-04-08_18-16-06
2025-04-08_19-02-56,Execução Livre,draft.go:2025-04-08_19-02-56
2025-04-08_19-03-47,Execução Livre,draft.go:2025-04-08_19-03-47
2025-04-08_19-05-24,000%,draft.go:2025-04-08_19-05-24
2025-04-08_19-05-30,Execução Livre,draft.go:2025-04-08_19-05-24
2025-04-08_19-07-25,000%,draft.go:2025-04-08_19-07-25
2025-04-08_19-07-27,Execução Livre,draft.go:2025-04-08_19-07-25
2025-04-08_20-12-15,Execução Livre,draft.go:2025-04-08_19-07-25
2025-04-08_20-35-15,Execução Livre,draft.go:2025-04-08_20-35-15
2025-04-08_20-42-37,Execução Livre,draft.go:2025-04-08_20-42-37
2025-04-08_20-48-47,Execução Livre,draft.go:2025-04-08_20-48-47
2025-04-08_20-50-09,Execução Livre,draft.go:2025-04-08_20-50-09
2025-04-08_20-58-08,000%,draft.go:2025-04-08_20-58-08
2025-04-08_21-10-43,Execução Livre,draft.go:2025-04-08_21-10-43
2025-04-08_21-14-29,Execução Livre,draft.go:2025-04-08_21-14-29
2025-04-08_21-23-38,000%,draft.go:2025-04-08_21-23-38
2025-04-08_21-24-22,Execução Livre,draft.go:2025-04-08_21-23-38
2025-04-08_21-26-40,025%,draft.go:2025-04-08_21-26-40
2025-04-08_21-28-28,050%,draft.go:2025-04-08_21-28-28
2025-04-08_21-29-13,050%,draft.go:2025-04-08_21-29-13
2025-04-08_21-29-48,Execução Livre,draft.go:2025-04-08_21-29-48
2025-04-08_21-34-51,100%,draft.go:2025-04-08_21-34-51
2025-04-08_21-35-02,100%,draft.go:2025-04-08_21-34-51
2025-04-08_21-35-32,100%,draft.go:2025-04-08_21-34-51
2025-04-08_21-36-10,100%,draft.go:2025-04-08_21-34-51
